ac_number,ac_name,candidate,party,party_type,votes,status,total_votes,valid_votes,vote_share,region,reserved
62,CHENGAM,A Poongodi,IND,IND,197.0,FD,243703.0,241783.0,0.08,North,SC
63,TIRUVANNAMALAI,Malli. S,tavk,U,122.0,FD,220079.0,219281.0,0.06,North,GEN
63,TIRUVANNAMALAI,Maheswari. R,IND,IND,77.0,FD,220079.0,219281.0,0.04,North,GEN
65,KALASAPAKKAM,Seetha Sivanandam. P,NTK,S,5312.0,FD,214193.0,213704.0,2.49,North,GEN
65,KALASAPAKKAM,Sathya. V,NADLMMKLK,U,245.0,FD,214193.0,213704.0,0.11,North,GEN
66,POLUR,Umadevi. A,NTK,S,6425.0,FD,212247.0,210945.0,3.05,North,GEN
66,POLUR,Banupriya. D,RPPRINAT,U,869.0,FD,212247.0,210945.0,0.41,North,GEN
66,POLUR,Subha. A,IND,IND,425.0,FD,212247.0,210945.0,0.2,North,GEN
67,ARANI,Dhavamani. R,NTK,S,6888.0,FD,231139.0,229455.0,3.0,North,GEN
67,ARANI,Mahalakshmi Govarthanan,DMK,S,71104.0,L,231139.0,229455.0,30.99,North,GEN
67,ARANI,Jayasudha. L,ADMK,S,76735.0,W,231139.0,229455.0,33.44,North,GEN
67,ARANI,Ammu. V,IND,IND,104.0,FD,231139.0,229455.0,0.05,North,GEN
67,ARANI,Sudha. S,IND,IND,257.0,FD,231139.0,229455.0,0.11,North,GEN
67,ARANI,Mahalakshmi. G,IND,IND,359.0,FD,231139.0,229455.0,0.16,North,GEN
67,ARANI,Mahalakshmi. G,IND,IND,117.0,FD,231139.0,229455.0,0.05,North,GEN
67,ARANI,Jayanthi. E,IND,IND,60.0,FD,231139.0,229455.0,0.03,North,GEN
67,ARANI,Jayanthi. M,IND,IND,90.0,FD,231139.0,229455.0,0.04,North,GEN
69,VANDAVASI,Rani. P,ADMK,S,60472.0,L,191401.0,190216.0,31.79,North,SC
69,VANDAVASI,Thamarai Selvi. S,tavk,U,252.0,FD,191401.0,190216.0,0.13,North,SC
69,VANDAVASI,Rani. A,IND,IND,674.0,FD,191401.0,190216.0,0.35,North,SC
71,MAILAM,Divya P,NIDP,U,26.0,FD,189376.0,188922.0,0.01,Central,GEN
71,MAILAM,Ranjitha V,IND,IND,357.0,FD,189376.0,188922.0,0.19,Central,GEN
73,VANUR,Radhika S,IND,IND,197.0,FD,192680.0,191600.0,0.1,Central,SC
74,VILUPPURAM,Abinaya Ponnivalavan,NTK,S,5786.0,FD,215891.0,214849.0,2.69,Central,GEN
74,VILUPPURAM,Vijayasureshbabu,ADMK,S,63808.0,L,215891.0,214849.0,29.7,Central,GEN
74,VILUPPURAM,Vijaya K,IND,IND,46.0,FD,215891.0,214849.0,0.02,Central,GEN
74,VILUPPURAM,Vijaya D,IND,IND,100.0,FD,215891.0,214849.0,0.05,Central,GEN
74,VILUPPURAM,Vijaya M,IND,IND,141.0,FD,215891.0,214849.0,0.07,Central,GEN
74,VILUPPURAM,Vijaya M,IND,IND,93.0,FD,215891.0,214849.0,0.04,Central,GEN
75,VIKRAVANDI,Subha Chandrasekaran A,NTK,S,4979.0,FD,209859.0,208830.0,2.38,Central,GEN
75,VIKRAVANDI,Backiyalakshmi C,TK,U,141.0,FD,209859.0,208830.0,0.07,Central,GEN
77,ULUNDURPETTAI,Logeshwari S,NTK,S,6525.0,FD,271103.0,269951.0,2.42,Central,GEN
78,RISHIVANDIYAM,Radhika P,NTK,S,7247.0,FD,245006.0,244261.0,2.97,Central,GEN
78,RISHIVANDIYAM,Sevvantha G K,AMM,U,322.0,FD,245006.0,244261.0,0.13,Central,GEN
79,SANKARAPURAM,Sudha M,BSP,N,544.0,FD,235780.0,235145.0,0.23,Central,GEN
79,SANKARAPURAM,Kavikuil V,IND,IND,97.0,FD,235780.0,235145.0,0.04,Central,GEN
