ac_number,male_electors_21,female_electors_21,tg_electors_21,total_electors_21,male_voters_21,female_voters_21,tg_voters_21,total_voters_21,turnout_21,male_turnout_21,female_turnout_21,gender_gap_21,male_electors_26,female_electors_26,tg_electors_26,total_electors_26,male_voters_26,female_voters_26,tg_voters_26,total_voters_26,turnout_26,male_turnout_26,female_turnout_26,gender_gap_26,constituency,region,reserved,district,male_delta,female_delta,gap_change,female_surge,gap_flipped
51,119850,118393,56,238299,93876,92304,20,188437,79.08,78.33,77.96,-0.37,118275,117609,41,235925,101261,101289,8,205745,87.21,85.61,86.12,0.51,Uthangarai,North,SC,Krishnagiri,7.28,8.16,0.88,0.88,True
52,123493,124826,16,248335,96661,99115,0,198221,79.82,78.27,79.4,1.13,119224,121235,17,240476,103171,107287,9,214129,89.04,86.54,88.5,1.96,Bargur,North,GEN,Krishnagiri,8.27,9.1,0.83,0.83,False
53,132537,135614,38,268189,103282,105640,13,212253,79.14,77.93,77.9,-0.03,132866,136467,61,269394,111260,115393,42,231023,85.76,83.74,84.56,0.82,Krishnagiri,North,GEN,Krishnagiri,5.81,6.66,0.85,0.85,True
54,128699,123353,33,252085,105414,98948,2,205463,81.51,81.91,80.22,-1.69,125068,121633,38,246739,112032,108986,20,222792,90.29,89.58,89.6,0.02,Veppanahalli,North,GEN,Krishnagiri,7.67,9.38,1.71,1.71,True
55,179519,172152,100,351771,126816,119782,4,248362,70.6,70.64,69.58,-1.06,171306,171662,72,343040,137844,137688,29,277928,81.02,80.47,80.21,-0.26,Hosur,North,GEN,Krishnagiri,9.83,10.63,0.8,0.8,False
56,128967,122215,33,251215,101252,91418,8,194226,77.31,78.51,74.8,-3.71,120911,117013,37,237961,105115,99156,17,205968,86.56,86.94,84.74,-2.2,Thalli,North,GEN,Krishnagiri,8.43,9.94,1.51,1.51,False
57,120371,117002,18,237391,105214,101667,0,209218,88.13,87.41,86.89,-0.52,121408,119432,21,240861,111960,110493,17,225496,93.62,92.22,92.52,0.3,Palacode,North,GEN,Dharmapuri,4.81,5.63,0.82,0.82,True
58,127811,118951,10,246772,108388,101177,1,212169,85.98,84.8,85.06,0.26,128018,120805,9,248832,115196,110199,6,228907,91.99,89.98,91.22,1.24,Pennagaram,North,GEN,Dharmapuri,5.18,6.16,0.98,0.98,False
59,136121,133543,109,269773,109278,105471,48,218716,81.07,80.28,78.98,-1.3,130887,130008,84,260979,116631,116510,64,238742,91.48,89.11,89.62,0.51,Dharmapuri,North,GEN,Dharmapuri,8.83,10.64,1.81,1.81,True
60,133185,132293,9,265487,109566,108194,5,221276,83.35,82.27,81.78,-0.49,128665,128337,14,257016,115239,116602,10,237164,92.28,89.57,90.86,1.29,Pappireddippatti,North,GEN,Dharmapuri,7.3,9.08,1.78,1.78,True
61,125414,124693,13,250120,98498,97469,1,198988,79.56,78.54,78.17,-0.37,122608,123339,24,245971,106883,108403,20,220303,89.56,87.17,87.89,0.72,Harur,North,SC,Dharmapuri,8.63,9.72,1.09,1.09,True
62,136703,138714,2,275419,110349,111446,2,225298,81.8,80.72,80.34,-0.38,134094,135316,13,269423,119078,121404,8,243703,90.45,88.8,89.72,0.92,Chengam,North,SC,Tiruvannamalai,8.08,9.38,1.3,1.3,True
63,138705,147845,39,286589,100664,104631,16,208966,72.91,72.57,70.77,-1.8,121132,128846,48,250026,105300,112475,37,220079,88.02,86.93,87.29,0.36,Tiruvannamalai,North,GEN,Tiruvannamalai,14.36,16.52,2.16,2.16,True
64,124643,128910,9,253562,99643,101038,1,203931,80.43,79.94,78.38,-1.56,119081,122113,15,241209,106836,110497,10,220055,91.23,89.72,90.49,0.77,Kilpennathur,North,GEN,Tiruvannamalai,9.78,12.11,2.33,2.33,True
65,120437,123206,12,243655,96369,97640,1,196580,80.68,80.02,79.25,-0.77,115844,117733,18,233595,104334,107186,8,214193,91.69,90.06,91.04,0.98,Kalasapakkam,North,GEN,Tiruvannamalai,10.04,11.79,1.75,1.75,True
66,120990,124200,5,245195,98307,101188,3,202378,82.54,81.25,81.47,0.22,116131,118949,11,235091,101876,107090,9,212247,90.28,87.73,90.03,2.3,Polur,North,GEN,Tiruvannamalai,6.48,8.56,2.08,2.08,False
67,135273,142432,22,277727,108304,112110,7,223285,80.4,80.06,78.71,-1.35,125648,130788,38,256474,110706,116763,26,231139,90.12,88.11,89.28,1.17,Arani,North,GEN,Tiruvannamalai,8.05,10.57,2.52,2.52,True
68,127066,132823,1,259890,106255,105934,0,214645,82.59,83.62,79.76,-3.86,118003,121996,9,240008,108908,111701,9,222933,92.89,92.29,91.56,-0.73,Cheyyar,North,GEN,Tiruvannamalai,8.67,11.8,3.13,3.13,False
69,118747,121905,2,240654,92632,91637,0,186321,77.42,78.01,75.17,-2.84,105468,108101,5,213574,93803,95451,1,191401,89.62,88.94,88.3,-0.64,Vandavasi,North,SC,Tiruvannamalai,10.93,13.13,2.2,2.2,False
70,129206,131924,37,261167,102131,101889,9,207169,79.32,79.05,77.23,-1.82,120357,122606,29,242992,105778,108710,16,217641,89.57,87.89,88.67,0.78,Gingee,Central,GEN,Villupuram,8.84,11.44,2.6,2.6,True
71,110007,110292,25,220324,88814,86364,1,177108,80.39,80.73,78.3,-2.43,104130,104949,19,209098,93290,94065,10,189376,90.57,89.59,89.63,0.04,Mailam,Central,GEN,Villupuram,8.86,11.33,2.47,2.47,True
72,113632,116925,13,230570,90676,90137,2,183419,79.55,79.8,77.09,-2.71,107538,111751,11,219300,94946,99169,6,196360,89.54,88.29,88.74,0.45,Tindivanam,Central,SC,Villupuram,8.49,11.65,3.16,3.16,True
73,111302,115290,16,226608,89805,90928,2,182417,80.5,80.69,78.87,-1.82,102776,107093,16,209885,92682,98312,9,192680,91.8,90.18,91.8,1.62,Vanur,Central,SC,Villupuram,9.49,12.93,3.44,3.44,True
74,128015,134097,63,262175,100297,101550,3,205146,78.25,78.35,75.73,-2.62,119713,126205,76,245994,103656,109383,58,215891,87.76,86.59,86.67,0.08,Villupuram,Central,GEN,Villupuram,8.24,10.94,2.7,2.7,True
75,116118,118698,25,234841,95511,95966,5,193826,82.53,82.25,80.85,-1.4,112953,116200,29,229182,101383,105641,19,209859,91.57,89.76,90.91,1.15,Vikravandi,Central,GEN,Villupuram,7.51,10.06,2.55,2.55,True
76,128165,126515,36,254716,98180,95699,11,196372,77.09,76.6,75.64,-0.96,122277,121092,35,243404,107209,107856,23,217762,89.47,87.68,89.07,1.39,Tirukkoyilur,Central,GEN,Villupuram,11.08,13.43,2.35,2.35,True
77,147997,145420,47,293464,121410,121030,1,245140,83.53,82.04,83.23,1.19,150496,150249,44,300789,132309,136032,27,271103,90.13,87.92,90.54,2.62,Ulundurpet,Central,GEN,Villupuram,5.88,7.31,1.43,1.43,False
78,135948,132316,59,268323,107440,106428,5,215451,80.3,79.03,80.43,1.4,136706,136884,51,273641,119281,123850,19,245006,89.54,87.25,90.48,3.23,Rishivandiam,Central,GEN,Villupuram,8.22,10.05,1.83,1.83,False
79,133833,134713,48,268594,103890,109610,6,215886,80.38,77.63,81.37,3.74,131559,134400,44,266003,112116,120737,22,235780,88.64,85.22,89.83,4.61,Sankarapuram,Central,GEN,Villupuram,7.59,8.46,0.87,0.87,False
80,142145,144419,57,286621,108157,115456,19,226026,78.86,76.09,79.95,3.86,139007,142547,68,281622,117866,129253,41,249689,88.66,84.79,90.67,5.88,Kallakurichi,Central,SC,Villupuram,8.7,10.72,2.02,2.02,False
81,115953,123067,4,239024,89000,95250,1,187298,78.36,76.76,77.4,0.64,106406,111962,7,218375,92470,101361,3,196881,90.16,86.9,90.53,3.63,Gangavalli,Central,SC,Salem,10.14,13.13,2.99,2.99,False
82,122895,131798,12,254705,95537,101186,5,200069,78.55,77.74,76.77,-0.97,110787,117410,22,228219,98617,107127,20,208562,91.39,89.01,91.24,2.23,Attur,Central,SC,Salem,11.27,14.47,3.2,3.2,True
83,139032,144981,16,284029,116927,119124,6,239284,84.25,84.1,82.17,-1.93,133812,139107,18,272937,122815,128189,14,253743,92.97,91.78,92.15,0.37,Yercaud,Central,ST,Salem,7.68,9.98,2.3,2.3,True
84,151946,144242,4,296192,128898,117596,1,250026,84.41,84.83,81.53,-3.3,150257,144584,22,294863,136362,131446,18,271493,92.07,90.75,90.91,0.16,Omalur,Central,GEN,Salem,5.92,9.38,3.46,3.46,True
85,145657,141186,6,286849,110791,104217,2,218869,76.3,76.06,73.82,-2.24,129034,126820,15,255869,114367,113712,11,231663,90.54,88.63,89.66,1.03,Mettur,Central,GEN,Salem,12.57,15.84,3.27,3.27,True
86,145173,140102,23,285298,126016,118277,16,248602,87.14,86.8,84.42,-2.38,139764,136678,30,276472,128641,125835,24,258490,93.5,92.04,92.07,0.03,Edapadi,Central,GEN,Salem,5.24,7.65,2.41,2.41,True
87,138580,135708,19,274307,118393,111070,7,232300,84.69,85.43,81.84,-3.59,131472,129088,30,260590,121453,119620,24,244023,93.64,92.38,92.67,0.29,Sankari,Central,GEN,Salem,6.95,10.83,3.88,3.88,True
88,149312,150324,57,299693,109787,105346,23,218239,72.82,73.53,70.08,-3.45,128491,129485,64,258040,115674,116512,46,234789,90.99,90.02,89.98,-0.04,Salem (West),Central,GEN,Salem,16.49,19.9,3.41,3.41,False
89,134947,141053,22,276022,99574,99522,10,202600,73.4,73.79,70.56,-3.23,116011,122624,50,238685,101851,106711,43,210877,88.35,87.79,87.02,-0.77,Salem (North),Central,GEN,Salem,14.0,16.46,2.46,2.46,False
90,127239,133142,22,260403,99193,98687,9,200166,76.87,77.96,74.12,-3.84,111277,115554,49,226880,101139,105317,36,208117,91.73,90.89,91.14,0.25,Salem (South),Central,GEN,Salem,12.93,17.02,4.09,4.09,True
91,130600,129445,19,260064,113291,109100,4,224765,86.43,86.75,84.28,-2.47,125773,124714,17,250504,117054,116770,15,236141,94.27,93.07,93.63,0.56,Veerapandi,Central,GEN,Salem,6.32,9.35,3.03,3.03,True
92,115411,121155,14,236580,95764,98306,3,197486,83.48,82.98,81.14,-1.84,108636,113655,13,222304,97733,103582,11,204902,92.17,89.96,91.14,1.18,Rasipuram,Central,SC,Namakkal,6.98,10.0,3.02,3.02,True
93,119169,124362,25,243556,96133,100886,6,199830,82.05,80.67,81.12,0.45,112168,117288,26,229482,99693,107074,15,209816,91.43,88.88,91.29,2.41,Sendamangalam,Central,ST,Namakkal,8.21,10.17,1.96,1.96,False
94,124572,133235,47,257854,97243,105168,29,207500,80.47,78.06,78.93,0.87,114433,123443,39,237915,98123,110427,33,212395,89.27,85.75,89.46,3.71,Namakkal,Central,GEN,Namakkal,7.69,10.53,2.84,2.84,False
95,106901,114758,5,221664,85674,94078,1,183865,82.95,80.14,81.98,1.84,98548,106657,10,205215,86672,98366,9,189019,92.11,87.95,92.23,4.28,Paramathi-Velur,Central,GEN,Namakkal,7.81,10.25,2.44,2.44,False
96,112512,118584,37,231133,88555,93342,12,184878,79.99,78.71,78.71,0.0,101443,107608,48,209099,90246,97998,30,191217,91.45,88.96,91.07,2.11,Tiruchengode,Central,GEN,Namakkal,10.25,12.36,2.11,2.11,False
97,124254,130181,33,254468,98146,102398,7,202012,79.39,78.99,78.66,-0.33,106211,113789,72,220072,98115,105603,60,205359,93.31,92.38,92.81,0.43,Kumarapalayam,Central,GEN,Namakkal,13.39,14.15,0.76,0.76,True
