ac_number,constituency,region,reserved,turnout_21,turnout_26,delta
222,Tenkasi,South,GEN,73.32,83.41,10.09
223,Alangulam,South,GEN,78.06,86.46,8.4
224,Tirunelveli,South,GEN,67.71,79.28,11.57
225,Ambasamudram,South,GEN,72.8,83.95,11.15
226,Palayamcottai,South,GEN,58.98,70.32,11.34
227,Nanguneri,South,GEN,69.51,81.38,11.87
228,Radhapuram,South,GEN,69.31,81.05,11.74
229,Kanniyakumari,South,GEN,76.82,82.88,6.06
230,Nagercoil,South,GEN,68.1,75.78,7.68
231,Colachel,South,GEN,68.23,75.06,6.83
232,Padmanabhapuram,South,GEN,71.25,76.59,5.34
233,Vilavancode,South,GEN,67.42,76.72,9.3
234,Killiyoor,South,GEN,66.73,72.23,5.5
