ac_number,constituency,nota_21,region,nota_26,tot_21,tot_26,nota_pct_21,nota_pct_26,nota_delta
158,Chidambaram,1202,Central,816,183352,196586,0.656,0.415,-0.241
159,Kattumannarkoil,648,Central,465,175561,187905,0.369,0.247,-0.122
160,Sirkali,977,Delta,555,191325,200448,0.511,0.277,-0.234
161,Mayiladuthurai,1067,Delta,474,174640,188461,0.611,0.252,-0.359
162,Poompuhar,733,Delta,586,207838,219324,0.353,0.267,-0.086
163,Nagapattinam,895,Delta,479,143560,151326,0.623,0.317,-0.306
164,Kilvelur,897,Delta,545,142995,151637,0.627,0.359,-0.268
165,Vedaranyam,673,Delta,563,158060,162216,0.426,0.347,-0.079
166,Thiruthuraipundi,1313,Delta,797,185886,191030,0.706,0.417,-0.289
167,Mannargudi,960,Delta,405,193229,194100,0.497,0.209,-0.288
168,Thiruvarur,1653,Delta,825,208290,217875,0.794,0.379,-0.415
169,Nannilam,1190,Delta,936,221944,231444,0.536,0.404,-0.132
170,Thiruvidamarudur,1240,Delta,747,198446,208944,0.625,0.358,-0.267
171,Kumbakonam,1648,Delta,960,197564,208288,0.834,0.461,-0.373
172,Papanasam,1204,Delta,716,196982,207723,0.611,0.345,-0.266
173,Thiruvaiyaru,1180,Delta,948,211430,222111,0.558,0.427,-0.131
174,Thanjavur,1938,Delta,1274,194859,198798,0.995,0.641,-0.354
175,Orathanad,867,Delta,631,191840,195304,0.452,0.323,-0.129
176,Pattukkottai,1026,Delta,738,177200,183745,0.579,0.402,-0.177
177,Peravurani,770,Delta,695,170850,176274,0.451,0.394,-0.057
178,Gandharvakottai,1390,Delta,1127,157620,167618,0.882,0.672,-0.21
179,Viralimalai,385,Delta,375,193423,203921,0.199,0.184,-0.015
180,Pudukkottai,604,Delta,467,179892,190378,0.336,0.245,-0.091
181,Thirumayam,569,Delta,945,174031,182612,0.327,0.517,0.19
182,Alangudi,702,Delta,673,171842,180483,0.409,0.373,-0.036
183,Arantangi,524,Delta,580,168048,182730,0.312,0.317,0.005
184,Karaikudi,1349,South,519,212456,229267,0.635,0.226,-0.409
185,Tiruppattur,853,South,747,210766,215710,0.405,0.346,-0.059
186,Sivaganga,1270,South,1053,202044,214067,0.629,0.492,-0.137
