ac_number,region,party_grp,votes,total_ac,vote_pct,year
51,North,NOTA,1359,188223,0.722,2021
51,North,NTK,10424,188223,5.538,2021
51,North,Others,5477,188223,2.91,2021
52,North,AIADMK,84642,197784,42.795,2021
52,North,DMK,97256,197784,49.173,2021
52,North,NOTA,1507,197784,0.762,2021
52,North,NTK,10113,197784,5.113,2021
52,North,Others,4266,197784,2.157,2021
53,North,AIADMK,96050,211648,45.382,2021
53,North,DMK,95256,211648,45.007,2021
53,North,NOTA,1837,211648,0.868,2021
53,North,NTK,11137,211648,5.262,2021
53,North,Others,7368,211648,3.481,2021
54,North,AIADMK,94104,205141,45.873,2021
54,North,DMK,91050,205141,44.384,2021
54,North,NOTA,1662,205141,0.81,2021
54,North,NTK,8310,205141,4.051,2021
54,North,Others,10015,205141,4.882,2021
55,North,AIADMK,105864,248098,42.67,2021
55,North,DMK,118231,248098,47.655,2021
55,North,NOTA,1976,248098,0.796,2021
55,North,NTK,11422,248098,4.604,2021
55,North,Others,10605,248098,4.275,2021
56,North,BJP,64415,194022,33.2,2021
56,North,CPI,120641,194022,62.179,2021
56,North,NOTA,1966,194022,1.013,2021
56,North,NTK,3776,194022,1.946,2021
56,North,Others,3224,194022,1.662,2021
57,North,AIADMK,110070,206595,53.278,2021
57,North,DMK,81970,206595,39.677,2021
57,North,NOTA,1351,206595,0.654,2021
57,North,NTK,7704,206595,3.729,2021
57,North,Others,5500,206595,2.662,2021
58,North,DMK,84937,210305,40.388,2021
58,North,NOTA,1759,210305,0.836,2021
58,North,NTK,8945,210305,4.253,2021
58,North,Others,8541,210305,4.061,2021
58,North,PMK,106123,210305,50.461,2021
59,North,DMK,78770,217333,36.244,2021
59,North,NOTA,1726,217333,0.794,2021
59,North,NTK,8700,217333,4.003,2021
59,North,Others,22507,217333,10.356,2021
59,North,PMK,105630,217333,48.603,2021
60,North,AIADMK,114507,220994,51.815,2021
60,North,DMK,77564,220994,35.098,2021
60,North,NOTA,1338,220994,0.605,2021
60,North,NTK,7573,220994,3.427,2021
60,North,Others,20012,220994,9.055,2021
61,North,AIADMK,99061,198565,49.888,2021
61,North,CPI(M),68699,198565,34.598,2021
61,North,NOTA,2249,198565,1.133,2021
61,North,NTK,10950,198565,5.515,2021
61,North,Others,17606,198565,8.867,2021
62,North,AIADMK,96511,223950,43.095,2021
62,North,DMK,108081,223950,48.261,2021
62,North,NOTA,1085,223950,0.484,2021
62,North,NTK,12080,223950,5.394,2021
62,North,Others,6193,223950,2.765,2021
63,North,BJP,43203,208836,20.688,2021
63,North,DMK,137876,208836,66.021,2021
63,North,NOTA,2194,208836,1.051,2021
63,North,NTK,13995,208836,6.701,2021
63,North,Others,11568,208836,5.539,2021
64,North,DMK,104675,203886,51.34,2021
64,North,NOTA,961,203886,0.471,2021
64,North,NTK,11541,203886,5.661,2021
64,North,Others,8821,203886,4.326,2021
64,North,PMK,77888,203886,38.202,2021
65,North,AIADMK,84912,196434,43.227,2021
65,North,DMK,94134,196434,47.921,2021
65,North,NOTA,1593,196434,0.811,2021
65,North,NTK,8822,196434,4.491,2021
65,North,Others,6973,196434,3.55,2021
66,North,AIADMK,97732,202012,48.379,2021
66,North,DMK,88007,202012,43.565,2021
66,North,NOTA,1144,202012,0.566,2021
66,North,NTK,10197,202012,5.048,2021
66,North,Others,4932,202012,2.441,2021
