ac_number,constituency,party_21,vote_pct_21,region,reserved,party_26,vote_pct_26,margin,flipped,vote_pct_diff
215,Tiruchendur,DMK,50.88,South,GEN,DMK,39.24,5872,False,11.64
216,Srivaikuntam,INC,46.96,South,GEN,TVK,33.45,1186,True,13.51
217,Ottapidaram,DMK,41.48,South,SC,TVK,41.81,29083,True,0.33
218,Kovilpatti,AIADMK,38.13,South,GEN,DMK,31.83,843,True,6.3
219,Sankarankovil,DMK,39.34,South,SC,AIADMK,33.11,6489,True,6.23
220,Vasudevanallur,DMK,39.57,South,SC,DMK,33.33,6583,False,6.24
221,Kadayanallur,AIADMK,43.3,South,GEN,DMK,36.05,6253,True,7.25
222,Tenkasi,INC,41.94,South,GEN,DMK,34.01,10299,True,7.93
223,Alangulam,AIADMK,36.77,South,GEN,DMK,31.46,7798,True,5.31
224,Tirunelveli,BJP,47.2,South,GEN,TVK,34.84,11414,True,12.36
225,Ambasamudram,AIADMK,48.41,South,GEN,AIADMK,34.5,10245,False,13.91
226,Palayamcottai,DMK,55.89,South,GEN,DMK,44.36,13805,False,11.53
227,Nanguneri,INC,39.74,South,GEN,TVK,35.91,16419,True,3.83
228,Radhapuram,DMK,44.17,South,GEN,TVK,35.07,12313,True,9.1
229,Kanniyakumari,AIADMK,49.04,South,GEN,AIADMK,31.49,214,False,17.55
230,Nagercoil,BJP,48.46,South,GEN,DMK,35.68,7570,True,12.78
231,Colachel,INC,49.8,South,GEN,INC,33.37,2833,False,16.43
232,Padmanabhapuram,DMK,51.88,South,GEN,CPI(M),38.31,15569,True,13.57
233,Vilavancode,INC,52.36,South,GEN,INC,40.64,20970,False,11.72
234,Killiyoor,INC,60.03,South,GEN,INC,37.53,1311,False,22.5
