Column2,Column11,Column12
AC NO.,POSTAL,TOTAL
41,454,86793
41,82,10234
41,16,2762
41,7,1632
41,5,669
41,10,637
41,0,425
41,2,275
41,1,268
41,0,194
41,1,107
41,1,64
41,0,63
41,0,48
42,1218,103885
42,517,83927
42,111,12088
42,14,2860
42,15,2253
42,31,2190
42,11,782
42,4,457
42,5,397
42,2,382
42,0,231
42,4,184
42,0,155
43,1392,84299
43,661,75118
43,76,8530
43,64,7243
43,24,1441
43,7,928
43,5,865
43,3,367
43,0,224
43,2,202
43,1,187
43,3,138
43,1,91
43,0,67
43,0,67
43,0,54
43,2,42
43,1,36
44,1075,95159
44,768,88799
44,151,8125
44,23,1791
44,22,1357
44,15,1140
44,0,468
44,5,328
44,0,179
44,1,150
44,5,109
44,1,94
44,1,62
44,2,44
45,590,84579
45,1064,73997
45,116,10027
45,25,1798
45,26,1432
45,4,547
45,0,519
45,14,519
45,7,331
45,4,242
45,1,133
46,887,100412
46,445,93511
46,58,11834
46,17,1822
46,8,1699
46,3,505
46,5,482
46,1,449
46,2,257
46,2,168
46,0,138
46,2,119
46,0,66
46,2,62
46,2,54
46,0,52
47,678,88018
47,797,83114
47,75,11226
47,2,1897
47,25,1868
47,5,1492
47,6,721
47,0,360
47,5,355
47,1,260
47,0,186
47,2,186
47,3,179
47,2,135
48,915,90476
48,341,70244
48,48,10150
48,6,1793
48,9,1638
48,7,1417
48,3,681
48,5,363
48,3,319
48,1,253
48,2,201
48,1,160
48,0,101
48,1,82
49,1253,89490
49,1034,88399
49,129,13328
49,9,1337
49,10,1067
49,9,870
49,5,619
49,6,347
49,0,217
49,1,209
49,0,148
49,2,142
49,2,103
49,2,82
50,1455,96522
50,377,68282
50,111,12127
50,23,2702
50,7,1632
50,5,1096
50,11,724
50,3,519
50,1,438
50,1,362
50,1,323
50,1,309
50,1,297
50,1,264
50,1,205
50,1,128
51,702,99675
51,1204,71288
51,72,10424
51,13,2291
51,5,1359
51,15,1254
51,4,722
51,0,322
51,3,283
51,1,206
51,1,181
51,2,114
51,1,104
52,1404,97256
52,465,84642
52,94,10116
52,11,1518
52,6,1061
52,9,710
52,1,629
52,1,443
52,8,345
52,0,318
52,0,215
52,3,183
52,1,121
52,4,119
52,1,108
53,750,96050
53,1749,95256
53,128,11137
53,32,3455
53,10,1837
53,16,1088
53,7,858
53,3,488
53,1,418
53,4,318
53,3,232
53,4,137
53,1,129
53,0,97
53,5,89
53,0,59
54,249,94104
54,457,91050
54,23,8310
54,9,3601
54,7,3022
54,1,1662
54,5,672
54,2,567
54,3,419
54,2,405
54,2,378
54,0,285
54,1,226
54,1,155
54,8,154
54,7,131
55,1032,118231
55,389,105864
55,31,11422
55,27,6563
55,8,1976
55,0,806
55,1,629
55,0,585
55,2,462
55,2,397
55,0,361
