ac_number,ac_name,candidate,party,party_type,votes,status,total_votes,valid_votes
121,SINGANALLUR,Janani.d,IND,IND,168,FD,221138,219687
122,KINATHUKADAVU,Banupriya M,NTK,S,9667,FD,268432,266200
124,VALPARAI,Umadevi. P,NTK,S,5256,FD,150529,149756
124,VALPARAI,Lakshmi. N,IND,IND,322,FD,150529,149756
125,UDUMALAIPETTAI,Elsy C.,IND,IND,84,FD,203937,202426
126,MADATHUKULAM,M Radhamani,NTK,S,6578,FD,188375,187338
127,PALANI,Murugeswari. B,NTK,S,6300,FD,208707,207869
127,PALANI,Madheswari. R,IND,IND,178,FD,208707,207869
129,ATHOOR,N. Kalaiselvi,TVK,U,83872,L,237388,236371
130,NILAKKOTTAI,Thenmozhi.s,ADMK,S,49924,L,197805,196951
130,NILAKKOTTAI,Nagajothi.s,DMK,S,65655,L,197805,196951
130,NILAKKOTTAI,Rajalakshmi.m,BSP,N,505,FD,197805,196951
131,NATHAM,Alagammal A,NTK,S,9677,FD,239317,238544
132,DINDIGUL,Mutharasi. S,NTK,S,7299,FD,212118,211191
132,DINDIGUL,Saranya. M,IND,IND,88,FD,212118,211191
133,VEDASANDUR,Dr.nakajothi. N,TVK,U,56804,L,226683,226080
134,ARAVAKURICHI,Suganya. S,BSP,N,359,FD,181165,180441
134,ARAVAKURICHI,Asiya Begum,AIPTMMK,U,290,FD,181165,180441
134,ARAVAKURICHI,Sowmiya. R,IND,IND,284,FD,181165,180441
135,KARUR,Elamathi. S,IND,IND,59,FD,217276,216290
135,KARUR,Seetha Lakshmi. D,IND,IND,28,FD,217276,216290
135,KARUR,Daniya. P,IND,IND,7,FD,217276,216290
135,KARUR,Parameswari,IND,IND,20,FD,217276,216290
135,KARUR,Mariammal. P.m,IND,IND,16,FD,217276,216290
135,KARUR,Vanitha. K.m,IND,IND,14,FD,217276,216290
136,KRISHNARAYAPURAM,Gomathi. M,BSP,N,306,FD,189634,188832
136,KRISHNARAYAPURAM,Sathiya. V,NTK,S,6102,FD,189634,188832
136,KRISHNARAYAPURAM,Dr. Dhivya. S,ADMK,S,58875,L,189634,188832
136,KRISHNARAYAPURAM,Sathya. M,TVK,U,62378,W,189634,188832
136,KRISHNARAYAPURAM,Indragandhi. P,IND,IND,68,FD,189634,188832
136,KRISHNARAYAPURAM,Baby. P,IND,IND,71,FD,189634,188832
137,KULITHALAI,M.gayathiri,IND,IND,84,FD,209285,208479
138,MANAPPARAI,P. Meena,PT,U,275,FD,241445,240267
138,MANAPPARAI,Periyakka,IND,IND,238,FD,241445,240267
140,TIRUCHIRAPPALLI (WEST),K.bhuvaneswari,NTK,S,7470,FD,196420,195249
142,THIRUVERUMBUR,Visithra. S,BSP,N,194,FD,213792,212838
142,THIRUVERUMBUR,Subbulakshmi. R,IND,IND,92,FD,213792,212838
143,LALGUDI,Pratheeba,BSP,N,348,FD,185524,184823
143,LALGUDI,Leemarose Martin,ADMK,S,60795,W,185524,184823
143,LALGUDI,K. Immaculate Mary,SMKNK,U,399,FD,185524,184823
143,LALGUDI,Josephin,AIPTMMK,U,192,FD,185524,184823
143,LALGUDI,R. Ponsilambu,IND,IND,340,FD,185524,184823
144,MANACHANALLUR,Thenmozhi. R,NTK,S,9289,FD,209935,209181
144,MANACHANALLUR,Revathi. S,AKINMKMRK,U,75,FD,209935,209181
145,MUSIRI,G. Bakiyalakshmi,NTK,S,8357,FD,189230,188048
145,MUSIRI,K.dhivya,RTSMJD,U,253,FD,189230,188048
146,THURAIYUR,S Kowsalya,NTK,S,8436,FD,184621,183729
146,THURAIYUR,E.saroja,ADMK,S,56649,L,184621,183729
146,THURAIYUR,E.saroja,IND,IND,95,FD,184621,183729
146,THURAIYUR,K.saroja,IND,IND,107,FD,184621,183729
146,THURAIYUR,P.saroja,IND,IND,141,FD,184621,183729
147,PERAMBALUR,Suganya. J,NTK,S,9474,FD,253860,252494
147,PERAMBALUR,Dr. Jayalakshmi. S.t,DMK,S,76489,L,253860,252494
147,PERAMBALUR,Shiyamala. M,IND,IND,421,FD,253860,252494
148,KUNNAM,Saranya. A,ADMK,S,71680,L,230664,230086
148,KUNNAM,Revathi Muthamilselvan,TVK,U,59170,L,230664,230086
149,ARIYALUR,Latha Balu,DMK,S,70721,L,236042,235217
150,JAYANKONDAM,Revathi K.,NTK,S,6192,FD,228895,228132
151,TITTAKUDI,Mahalakshmi V,NTK,S,5709,FD,175947,175170
151,TITTAKUDI,Sathya M,AJPK,U,362,FD,175947,175170
151,TITTAKUDI,Jaya K,tavk,U,338,FD,175947,175170
152,VRIDDHACHALAM,Ananthi Dhandapani,NTK,S,6047,FD,209448,208431
152,VRIDDHACHALAM,Premallatha Vijayakant,DMDK,S,69351,W,209448,208431
152,VRIDDHACHALAM,Sathiya.b,AMM,U,160,FD,209448,208431
152,VRIDDHACHALAM,Gnanasundari.m,AJPK,U,611,FD,209448,208431
152,VRIDDHACHALAM,Dr.tamizharasi.p,PMK,U,59791,L,209448,208431
154,PANRUTI,Banupriya. M,NTK,S,4884,FD,211015,209860
155,CUDDALORE,S.sarasu,NTK,S,5766,FD,190656,189484
155,CUDDALORE,V. Suganthi,IND,IND,62,FD,190656,189484
155,CUDDALORE,R. Veeramani,IND,IND,214,FD,190656,189484
156,KURINJIPADI,Kavitha Renganathan,NTK,S,4813,FD,214326,213336
156,KURINJIPADI,Manimala R,IND,IND,458,FD,214326,213336
157,BHUVANAGIRI,Sumathi . S,NTK,S,5105,FD,207463,206629
160,SIRKAZHI,Sakthi.m,ADMK,S,60032,L,200546,199893
160,SIRKAZHI,Malathi.a,AIPTMMK,U,365,FD,200546,199893
161,MAYILADUTHURAI,Navanitham. S,IND,IND,245,FD,188691,187987
162,POOMPUHAR,Noor Nisha. M,IND,IND,107,FD,219814,218738
163,NAGAPATTINAM,Fathima Farhana.s,NTK,S,5348,FD,151512,150847
164,KILVELUR,Karthika. M,NTK,S,8069,FD,151750,151092
164,KILVELUR,Latha. T,CPI(M),N,56108,W,151750,151092
164,KILVELUR,Jaivishnudevi. M,IND,IND,410,FD,151750,151092
166,THIRUTHURAIPOONDI,Vimala.a,BSP,N,525,FD,191133,190233
166,THIRUTHURAIPOONDI,Vinothini.r,NTK,S,10176,FD,191133,190233
168,THIRUVARUR,Aswini B,NTK,S,10031,FD,218012,217050
169,NANNILAM,Thenmozhi Dilipkumar,NTK,S,8446,FD,231592,230508
170,THIRUVIDAIMARUDUR,Elamathi Subramanian,ADMK,S,52922,L,209468,208197
170,THIRUVIDAIMARUDUR,M.divya Bharathi,NTK,S,6363,FD,209468,208197
170,THIRUVIDAIMARUDUR,Keerthiga. K,IND,IND,95,FD,209468,208197
170,THIRUVIDAIMARUDUR,Selvarani. S,IND,IND,139,FD,209468,208197
171,KUMBAKONAM,Senthamilselvi S,IND,IND,83,FD,208378,207328
172,PAPANASAM,Anis Fathima,NTK,S,9604,FD,207867,207007
172,PAPANASAM,A. Anis Fathima Abdul Rahim,IND,IND,503,FD,207867,207007
173,THIRUVAIYARU,Vijaya Babu,tavk,U,1130,FD,222215,221163
177,PERAVURANI,Bhuvana Maniyarasan,NTK,S,9122,FD,176446,175579
178,GANDHARVAKOTTAI,Nathiya,NTK,S,10189,FD,167870,166491
179,VIRALIMALAI,Sathyalakshmi. K,NTK,S,9467,FD,203999,203546
179,VIRALIMALAI,Karthika Prakash,AIPTMMK,U,834,FD,203999,203546
180,PUDUKKOTTAI,Ezhilarasi Vijayendran,NTK,S,11673,FD,190615,189911
180,PUDUKKOTTAI,G. Manimegalai,CPI(ML)(L),U,100,FD,190615,189911
181,THIRUMAYAM,Lakshmi Srinivasan,NTK,S,9102,FD,182792,181667
181,THIRUMAYAM,Chinthamani.c,TVK,U,56709,L,182792,181667
183,ARANTHANGI,Kavitha Srikanth,BJP,N,31456,L,182792,182150
183,ARANTHANGI,Muthulakshmi. S,NTK,S,9975,FD,182792,182150
184,KARAIKUDI,Shanthi. B,IND,IND,263,FD,229625,228748
184,KARAIKUDI,Selvi. K,IND,IND,169,FD,229625,228748
184,KARAIKUDI,Jeevitha. A,IND,IND,321,FD,229625,228748
185,TIRUPPATTUR,Ramya Mohan,NTK,S,15291,FD,216016,214963
185,TIRUPPATTUR,Umadevi. S,AIPTMMK,U,611,FD,216016,214963
185,TIRUPPATTUR,Panchavarnam. M,IND,IND,129,FD,216016,214963
185,TIRUPPATTUR,Bakiyalakshmi. M,IND,IND,266,FD,216016,214963
185,TIRUPPATTUR,Mallika. A,IND,IND,143,FD,216016,214963
