ac_number,male_electors_26,female_electors_26,tg_electors_26,total_electors_26,male_voters_26,female_voters_26,tg_voters_26,total_voters_26,turnout_26
214,121897,128841,65,250803,97716,105009,40,204992,81.73
215,113532,119499,30,233061,87381,96353,20,186322,79.95
216,106078,108547,5,214630,84320,89176,4,176594,82.28
217,119629,125001,56,244686,93245,100012,23,196554,80.33
218,117661,124669,29,242359,90011,101751,12,194497,80.25
219,116467,122551,17,239035,91021,101919,12,197670,82.7
220,112113,117053,13,229179,86845,99459,9,190256,83.02
221,133499,136207,17,269723,100529,118655,8,222360,82.44
222,137606,144294,102,282002,110970,120953,45,235213,83.41
223,124973,130736,21,255730,105179,112534,14,221103,86.46
224,133987,142229,80,276296,103881,111823,63,219060,79.28
225,110714,117520,12,228246,89271,99450,10,191613,83.95
226,125093,132387,18,257498,84519,92797,5,181061,70.32
227,126747,130720,13,257480,98912,107442,8,209548,81.38
228,121832,125455,23,247310,92325,105228,14,200446,81.05
229,142753,146714,94,289561,110849,124085,58,239978,82.88
230,127154,132197,10,259361,91964,101342,3,196545,75.78
231,133550,132504,1,266055,91595,104579,1,199711,75.06
232,119087,118070,3,237160,83637,94077,3,181648,76.59
233,114567,114127,3,228697,80934,90663,2,175453,76.72
234,125668,121606,15,247289,80449,94382,1,178628,72.23
,28097003,29307062,7728,57411793,23537143,25261339,4518,49389958,86.03
